Manufacturer,Brand,Product Name,Model Number,Input Power Type,Fixture Maximum Ambient Temp,Width,Height,Diameter,Warranty,Length,Date Qualified,Reported Minimum Input Voltage,Reported Maximum Input Voltage,Spectrally Tunable,Dimmable,Reported Photosynthetic Photon Efficacy (400-700nm),Reported Photosynthetic Photon Flux (400-700nm),Reported Minimum Photosynthetic Photon Flux,Reported Default Photosynthetic Photon Flux,Reported Photon Flux Blue (400-500nm),Reported Photon Flux Green (500-600nm),Reported Photon Flux Red (600-700nm),Reported Photon Flux Far Red (700-800nm),Reported Photon Flux (280-800nm),Reported Photon Efficacy (280-800nm),Tested Photosynthetic Photon Efficacy (400-700nm),Tested Photosynthetic Photon Flux (400-700nm),Tested Photon Flux Blue (400-500nm),Tested Photon Flux Green (500-600nm),Tested Photon Flux Red (600-700nm),Tested Photon Flux Far Red (700-800nm),Tested Photon Flux (280-800nm),Tested Photon Efficacy (280-800nm),Reported Input Wattage,Reported Default Input Wattage,Reported Minimum Input Wattage,Reported Power Factor,Reported Total Harmonic Distortion,Tested Input Wattage,Tested Voltage for Minimum Efficacy,Tested Power Factor,Tested Total Harmonic Distortion,Tested DC Input Current,Dimming and Control Method to the Product
Jusbtek LLC,Jusbtek,Grow LED Light,GL645W,AC,35,47,2.62,,5,50.4 in,2024-10-15,100,277,No,TRUE,2.76,1780,0,1780,273,677,685,39,,,2.71,1635,273,677,685,39,,,645,645,0,0.996,4,603.8,120,0.973,6.1,,0-10V IEC60929 Annex E
FOHSE INC,FOHSE,Pisces 4FT 500W 277V,Pisces 4FT 500W 277V,AC,40,43.5,2.56,,5,42.0 in,2023-11-29,100,277,No,TRUE,2.76,1379,0,1378.8,410,646,325,25,,,2.71,1368,410,644,325,25,,,500,500,0,0.999,2,505.1,277,0.99,1.9,,0-10V IEC60929 Annex E
GML Solutions Ltd.,Grand Master LEDs,MASTER 4V HV,GMLL480W1I450H3H,AC,40,43.86,4.06,,5,44.4 in,2024-02-16,277,480,No,TRUE,2.76,1365,0,1365,389,617,360,24,,,2.76,1365,389,617,360,24,,,494,494,0,0.987,5.3,493.8,277,0.971,7.8,,"0-10V IEC60929 Annex E, Knob"
GML Solutions Ltd.,Grand Master LEDs,Tarantula Vulcan Nitro 1100,GMLL1100W5I2A16C2,AC,40,38.35,4.02,,5,39.6 in,2023-11-10,200,277,No,TRUE,2.75,3037,0,3037,481,1246,1309,233,,,2.74,3037,481,1246,1309,233,,,1106,1106,0,0.994,5,1106,240,0.994,4.9,,"0-10V IEC60929 Annex E, knob"
GML Solutions Ltd.,Grand Master LEDs,Tarantula Long Leg 1100,GMLL1100W6I2A12C2,AC,40,43.86,4.06,,5,44.4 in,2023-09-12,200,277,Yes,TRUE,2.75,3014,0,3014,517,1162,1335,250,,,2.75,3014,517,1162,1335,250,,,1097,1097,0,0.987,5,1097,240,0.987,,,0-10V IEC60929 Annex E
"SOLISLIKE-TECH CO., LTD.","SOLISLIKE-TECH CO., LTD",LED TOP LIGHTING,SLE-S1000HOH,AC,35,47.24,4.33,,5,43.2 in,2023-10-31,120,277,No,TRUE,2.75,2786,463,2786,463,1164,1160,62,,,2.75,2786,463,1164,1160,62,,,1000,1000,1000,0.991,4,1015,120,0.97,7.3,,0-10V IEC60929 Annex E
SINOWELL INC,FLEXSTAR,Electronic Horticultural LED fixture,FLEXSTAR 1000W PRO,AC,35,47.64,4.13,,5,60.0 in,2023-05-26,208,277,,TRUE,2.75,2756,0,2755.5,610,1121,1024,60,,,2.75,2756,610,1121,1024,60,,,1000,1000,0,0.9,20,1002.1,208,0.993,,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V), 0-10V Other Protocol, 0"
Grow Pros Solutions,GROW PROS SOLUTIONS,LED GROW LIGHTS,GPS-PHOENIX-UI,AC,45,42.9,2.54,,5,46.8 in,2024-05-15,120,277,No,TRUE,2.75,2486,248.6,2486,488,1078,920,103,,,2.75,2486,488,1078,920,103,,,904,900,90,0.9,15,903.81,120,0.998,3.3,,"0-10V IEC60929 Annex E, Bluetooth Sig MESH and MMDL Layers"
"SHENZHEN SNC OPTO ELECTRONIC CO.,LTD.",SNC,LED GROW LIGHTS,SNC-GL08-900WF1NA1-aISegh,AC,45,42.9,2.54,,5,46.8 in,2024-05-15,120,277,No,TRUE,2.75,2486,248.6,2486,488,1078,920,103,,,2.75,2486,488,1078,920,103,,,904,900,90,0.9,15,903.81,120,0.998,3.3,,"0-10V IEC60929 Annex E, Bluetooth Sig MESH and MMDL Layers"
FOHSE INC,FOHSE,Pisces 4FT 900W 277V,Pisces 4FT 900W 277V,AC,40,43.5,2.56,,5,42.0 in,2023-12-06,100,277,No,,2.75,2471,,,413,973,1058,60,,,,,,,,,,,900,,,0.999,5,,,,,,
Fluence Bioengineering,Fluence,SPYDR,"SR-2H47-I-[HV,HVG]-[Blank,XXX]-[S,B,R]",AC,35,43,4,,5,46.8 in,2022-02-25,230,480,No,TRUE,2.75,2184,,,384,892,908,56,,,2.75,2184,384,892,908,56,,,795,795,1,0.997,3.5,795,220.02,0.997,3.5,,0-10V Other Protocol
Green Amber (Canada) Corp.,Green Amber (Canada) Corp,LED-ONE Cannabis Grow Light,LED-ONE,AC,40,41.93,3.03,,5,43.2 in,2022-09-16,100,277,No,TRUE,2.75,2015,,,394,705,917,47,,,2.75,2015,394,705,917,47,,,733,733,0,0.998,5,732.5,120,0.958,10.2,,0-10V ANSI C137.1 (9V)
"Advanced Agricultural Technologies, LLC d.b.a. Agro Lighting",Agro Lighting,AgroBar Ultra 720,AgroBar Ultra - ABU 720,AC,40,43.3,3.5,,5,44.4 in,2022-05-12,120,277,No,TRUE,2.75,1992,,,361,685,946,61,,,2.75,1992,361,685,946,61,,,724,724,0,0.964,,723.69,120,0.964,6.1,,0-10V ANSI C137.1 (9V)
FOHSE INC,FOHSE,Pisces 4FT 700W 480V,Pisces 4FT 700W 480V,AC,40,43.5,2.56,,5,42.0 in,2023-12-06,277,480,No,TRUE,2.75,1927,0,1927,331,770,824,48,,,,,,,,,,,700,700,0,0.999,2,,,,,,0-10V IEC60929 Annex E
Hydrofarm LLC,PHOTOBIO,PHOTOBIO·MX2 680W,PTBZ1000768S4X,AC,40,44.1,1.02,,5,43.2 in,2024-04-22,120,277,No,TRUE,2.75,1859,0,1858.9,326,804,744,40,,,2.75,1859,326,804,744,40,,,675.6,675.6,0,0.966,6.4,675.6,120,0.966,6.4,,0-10V IEC60929 Annex E
Hydrofarm LLC,PHOTOBIO,PHOTOBIO·MX2 680W,PTBZ1000768S491,AC,40,44.1,1.02,,5,43.2 in,2024-04-22,208,480,No,TRUE,2.75,1848,0,1847.6,321,802,739,40,,,2.75,1847,321,802,739,40,,,670.9,670.9,0,0.973,8.5,670.9,208,0.973,8.5,,0-10V IEC60929 Annex E
Acuity Brands Lighting,Verjure,Arize Life2,VAL2 L48 PKB SEFY,AC,40,1.5,2,,,46.8 in,2021-07-15,120,277,No,TRUE,2.75,88,,,16,12,61,1,89,2.77,2.71,87.421,15.026,12.291,60.081,0.61,,,32,32,3.5,0.936,8.9,32.3,,0.931,8.8,,0-10V Other Protocol
Grow Pros Solutions,GROW PROS SOLUTIONS,LED GROW LIGHTS,GPS-DRAGON-UI,AC,45,42.9,2.54,,5,70.8 in,2024-05-15,120,277,No,TRUE,2.74,3705,370,3700,732,1603,1371,155,,,2.74,3705,732,1603,1371,155,,,1351,1350,135,0.9,15,1351.2,120,0.998,3.3,,"0-10V IEC60929 Annex E, Bluetooth Sig MESH and MMDL Layers"
"SHENZHEN SNC OPTO ELECTRONIC CO.,LTD.",SNC,LED GROW LIGHTS,SNC-GL08-1350WF1NA1-aISeh,AC,45,42.9,2.54,,5,70.8 in,2024-05-15,120,277,No,TRUE,2.74,3705,370,3700,732,1603,1371,155,,,2.74,3705,732,1603,1371,155,,,1351,1350,135,0.9,15,1351.2,120,0.998,3.3,,"0-10V IEC60929 Annex E, Bluetooth Sig MESH and MMDL Layers"
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BP6-1K-STD-JVG-RST1-S",AC,45,11.3,4.2,,5,39.6 in,2023-05-02,277,480,No,TRUE,2.74,2759,,,345,671,1755,35,,,2.74,2759,345,671,1755,35,,,1020,1020,4.5,0.994,4,1007,277,0.994,4.2,,0-10V Other Protocol
LG-LED SOLUTIONS LIMITED,MARS HYDRO,Horticultural Luminaires,FC-1000W,AC,40,45.3,3.74,,5,67.2 in,2023-09-26,120,277,No,TRUE,2.74,2569,0,2569,366,1036,1169,69,,,2.74,2569,366,1036,1169,69,,,1000,1000,0,0.982,8.9,938.1,120,0.998,,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
GML Solutions Ltd.,Grand Master LEDs,Master 6 Bloom RED 900,GMLL0900W6I1A12C2,AC,40,43.86,4.06,,5,44.4 in,2023-09-08,200,277,No,TRUE,2.74,2459,0,2459,430,924,1105,149,,,2.74,2459,430,924,1105,149,,,896,896,0,0.992,7,896.4,240,0.992,,,0-10V IEC60929 Annex E
GML Solutions Ltd.,Grand Master LEDs,Tarantula Torch 730 HV,GMLL0730W6I1A17E2,AC,40,43.66,3.64,,5,44.4 in,2024-02-27,277,480,No,TRUE,2.74,2032,0,2032,371,765,895,127,,,2.74,2023,371,765,895,127,,,741,741,0,0.994,3.6,741.2,277,0.994,3.6,,"0-10V IEC60929 Annex E, knob"
HLG,Horticulture Lighting Group,HLG750 XL HV,HLG750 XL HV,AC,40,27,3.5,,5,37.2 in,2023-07-26,240,277,No,,2.74,2011,0,1457,419,825,781,37,,,2.74,2010,419,825,780,37,,,735,632.7,0,0.99,7,734.7,240,0.99,7.1,,0-10V Other Protocol
FOHSE INC,FOHSE,Pisces 4FT 700W 277V,Pisces 4FT 700W 277V,AC,40,43.5,2.56,,5,42.0 in,2023-12-06,100,277,No,TRUE,2.74,1918,0,1917.8,308,761,824,45,,,,,,,,,,,700,700,0,0.999,5,,,,,,0-10V IEC60929 Annex E
"Shenzhen Enlite Energy Technology Co., Ltd",Enlite,FLORA 680W,001-FL680305312-00,AC,40,44.09,1.97,,5,44.4 in,2024-05-23,120,277,No,TRUE,2.74,1797,0,1797,319,784,696,34,,,,,,,,,,,680,680,0,0.949,9.2,,,,,,0-10V IEC60929 Annex E
Shenzhen Number Energy Saving Corporation,NANOLUX,,LEDzx F630,AC,35,23.23,3.74,,5,48.0 in,2021-09-24,120,277,No,TRUE,2.74,1830,,,335,745,752,45,,,2.74,1830,334.8,744.6,752.4,44.7,,,630,630,63,0.984,10,667.8,120,0.984,10,,0-10V IEC60929 Annex E
Shenzhen Number Energy Saving Corporation,NANOLUX,,LEDex F110,AC,35,2,1.7,,5,45.6 in,2024-01-24,120,277,No,TRUE,2.74,310,31,310.1,60,130,121,5,,,2.74,310,60,130,121,5,,,110,110,11,0.939,6,113.1,120,0.939,6.2,,0-10V IEC60929 Annex E
"Venntis Technologies, DBA TotalGrow Lights",TotalGrow,"TotalGrow Mezzo 100W, 44"" Light Bar",TG10B4-R0J-28-D0-J2CH6,AC,40,3.54,1.99,,5,44.4 in,2023-12-19,120,277,No,,2.74,275,,,45,71,159,2,277,2.75,2.74,275,45,71,159,2,277,2.75,100,,,0.955,8,100.4,120,0.955,8.3,,
Acuity Brands Lighting,Verjure,Arize Life3,VAL3 L48 BRI HO,AC,40,1.5,2,,5,46.8 in,2023-04-30,120,277,No,TRUE,2.74,189,,,37,54,97,1,190,2.75,2.74,189,37,54,97,1,190,2.75,68,68,0.5,0.925,10,68.99,120,0.925,9.9,,0-10V Other Protocol
"Zhongshan Lumigentek Lighting Technology Co., Ltd.",HortiBloom,Horticultural Luminaires,Mega X10 1000,AC,40,42,2.4,,5,56.4 in,2023-09-05,240,277,No,TRUE,2.73,2820,0,2820,387,1146,1289,18,,,,,,,,,,,1000,1000,0,0.98,7.3,,,,,,0-10V Other Protocol
GML Solutions Ltd.,Grand Master LEDs,Tarantula Torch 730,GMLL0730W6I1A17A2,AC,40,43.66,3.64,,5,44.4 in,2023-10-10,100,277,No,TRUE,2.73,2046,0,2046,373,766,907,129,,,2.73,2046,373,766,907,129,,,748,748,0,0.996,5,748.3,120,0.996,4.9,,"0-10V IEC60929 Annex E, knob"
"LLW Enterprise, LLC",VOLTGROW,,VGL3-TPL1-H,AC,40,,4.72,,5,,2022-12-30,347,480,No,TRUE,2.73,1731,,,297,679,755,36,,,2.73,1731,297,679,755,36,,,634,630,0,0.984,13,633.5,347,0.943,13.3,,0-10V IEC60929 Annex E
"SHENZHEN REIS LIGHTING TECHNOLOGY CO., LTD.",REIS,,R-LPL-27K-12-300,AC,35,3.56,0.23,,5,70.8 in,2023-08-21,100,277,No,TRUE,2.73,1514,151.4,1514,151,659,706,50,,,2.73,1514,151,659,706,50,,,555,555,55.5,0.989,8,555.21,120,0.989,7.7,,0-10V IEC60929 Annex E
Acuity Brands Lighting,Verjure,Pro Series,"VPS 4 FRSP [All Voltages] L/Lens [All Options, excluding AO] *field adjustable spatial distribution",AC,35,27.4,2.79,,5,48.0 in,2022-08-01,120,480,No,TRUE,2.73,930,0,929.9,152,294,483,14,,,,,,,,,,,340,340,0,0.9,20,,,,,,"0-10V Other Protocol, Bluetooth - Manufacturer Specific, Nlight"
Acuity Brands Lighting,Verjure,Pro Series,VPS 4 FRSP [All Voltages] L/Lens AO [All Options] (field adjustable max output) *field adjustable spatial distribution,AC,35,27.4,2.79,,5,48.0 in,2022-08-01,120,480,No,TRUE,2.73,930,97.6,929.9,152,294,483,14,,,,,,,,,,,340,340,57.8,0.9,20,,,,,,0-10V Other Protocol
"Aleo Lighting, Inc.",EVIO GROW,AGX,AGX-6L-320-850-IFC,AC,50,43.1,3.6,,5,46.8 in,2021-12-08,120,277,No,TRUE,2.73,865,,,148,351,374,17,,,2.6,824,141,334,356,16,,,320,320,0,0.97,15,317.4,277,0.97,6.9,,0-10V Other Protocol
Technical Consumer Products,TCP,HTM Series Horticulture Top Light,HTMUZDA3S1[Blank;All Controls],AC,55,9.5,4.8,,5,46.8 in,2024-12-16,120,277,No,TRUE,2.73,639,30,639.4,123,237,280,14,,,2.73,639,123,237,280,14,,,236,236,12,0.928,7.8,234.5,120,0.928,7.8,,0-10V Other Protocol
BLOOM LIGHT LLC,BLOOM LIGHT,BL1200 Pro,BL1200 Pro,AC,40,42.52,2.87,,5,69.6 in,2024-11-29,200,277,No,TRUE,2.72,3239,0,3239,635,1286,1317,117,,,2.72,3239,635,1286,1317,117,,,1193,1193,0,0.981,3.5,1193,277,0.981,3.5,,0-10V ANSI C137.1 (9V)
IQ Horticultural Lighting,IQ Horticultural Lighting,Horticultural LED Lighting,SOL 12 120 EXT,AC,40,12,4.5,,5,28.8 in,2024-08-27,120,277,No,TRUE,2.72,3237,0,3237.2,728,1075,1435,38,,,2.72,3237,728,1075,1435,38,,,1190,1190,0,0.932,11,1190.02,120,0.932,11,,0-10V IEC60929 Annex E
IQ Horticultural Lighting,IQ Horticultural Lighting,Horticultural LED Lighting,SOL 12 277 EXT,AC,40,12,4.5,,5,28.8 in,2024-08-27,277,480,No,TRUE,2.72,3237,0,3237.2,728,1075,1435,38,,,,,,,,,,,1190,1190,0,0.911,11,,,,,,0-10V IEC60929 Annex E
IQ Horticultural Lighting,IQ Horticultural Lighting,Horticultural LED Lighting,SOL 12 120 EXT,AC,40,12,4.5,,5,28.8 in,2024-08-27,120,277,No,TRUE,2.72,3237,0,3237.2,728,1075,1435,38,,,2.72,3237,728,1075,1435,38,,,1190,1190,0,0.932,11,1190.02,120,0.932,11,,0-10V IEC60929 Annex E
IQ Horticultural Lighting,IQ Horticultural Lighting,Horticultural LED Lighting,SOL 12 277 EXT,AC,40,12,4.5,,5,28.8 in,2024-08-27,277,480,No,TRUE,2.72,3237,0,3237.2,728,1075,1435,38,,,,,,,,,,,1190,1190,0,0.911,11,,,,,,0-10V IEC60929 Annex E
"Shenzhen Rio Tinto Opto-electronics Technology Co., Limited",Cretivity,,CTII1000W,AC,45,39.4,2.76,,5,44.4 in,2023-11-30,100,277,No,TRUE,2.72,2834,283.4,2834,540,1165,1131,73,,,,,,,,,,,1000,1000,100,0.945,7,,,,,,0-10V IEC60929 Annex E
"Shenzhen XinShengYang Opto-electronics Technology Co.,Ltd.",Luxgrow,,LPU7F-HV-SO,AC,40,34.7,2,,5,44.4 in,2022-02-03,277,480,No,TRUE,2.72,1985,0,1985,250,770,965,97,,,,,,,,,,,731,731,0,0.994,5.8,,,,,,0-10V ANSI C137.1 (9V)
ILUMINAR Lighting,Hypermol,Horticultural Luminaire,IL-HMOL-720,AC,40,43.7,2.28,,5,42.0 in,2023-05-24,120,277,No,TRUE,2.72,1906,783,1906,377,746,784,38,,,2.72,1906,377,746,784,38,,,700,700.4,290,0.997,4,700.4,120,0.95,6.1,,"0-10V IEC60929 Annex E, 0"
Hawthorne Gardening Company,Gavita,Gavita 900e LED 120-277 V,HGC906461,AC,40,43.7,2.3,,5,44.4 in,2021-01-26,120,277,No,TRUE,2.72,944,,,162,394,387,1,,,2.72,943.8,162.3,393.8,387.4,21.7,,,345,345,2,0.97,10,347.3,,0.98,9,,"0-10V ANSI C137.1 (9V), 0-11.5V to adapter, 0-9V to luminaire"
Marosi Designs LLC d/b/a BVV,Neocision,Veg 340,BVVNS320W1S450J4,AC,40,43.7,3.7,,5,44.4 in,2022-05-23,200,277,No,TRUE,2.72,929,,,228,433,268,22,,,2.72,929,228,433,268,22,,,342,342,0,0.981,5,341.5,240,0.981,5.3,,0-10V IEC60929 Annex E
"Advanced Agricultural Technologies, LLC d.b.a. Agro Lighting",AGRO LIGHTING,AgroBar Ultra 320(ABU 320),AgroBar Ultra 320(ABU 320),AC,40,43.3,1.6,,5,43.2 in,2022-12-02,100,277,No,TRUE,2.72,900,,,190,332,378,21,,,2.72,900,190,332,378,21,,,331,331,0,0.999,4,331.1,120,0.966,10,,0-10V ANSI C137.1 (9V)
FOHSE INC,FOHSE,,M1-2 1500W 208V,AC,40,37.01,4.33,,5,39.6 in,2024-04-01,208,277,No,TRUE,2.71,4065,0,4065,598,1606,1849,119,,,2.71,4021,599,1605,1849,119,,,1500,1500,0,0.99,5,1482.8,208,0.974,6.7,,0-10V Other Protocol
ILUMINAR Lighting,Hypermol,Horticultural Luminaire,IL-HMOL-1450,AC,40,43.7,2.28,,5,42.0 in,2023-05-24,120,277,No,,2.71,3733,1566,3733,690,1481,1562,75,,,2.71,3733,690,1481,1562,75,,,1380,1380,580,0.994,4,1380,120,0.939,13.8,,"0-10V IEC60929 Annex E, 0"
Alionco Tech Inc,Alionco Technology,,AR-XII,AC,40,42.88,2.57,,5,58.8 in,2024-01-03,120,277,No,TRUE,2.71,3496,0,3496,575,1468,1455,73,,,2.71,3496,575,1468,1455,73,,,1200,1200,0,0.956,10,1290.7,120,0.956,10.1,,0-10V Other Protocol
ILUMINAR Lighting,Hypermol,Horticultural Luminaire,IL-HMOL-1000,AC,40,43.7,2.28,,5,42.0 in,2023-05-24,120,277,No,,2.71,2660,1080,2660,495,1054,1110,55,,,,,,,,,,,981,980.5,400,0.995,4,,,,,,"0-10V IEC60929 Annex E, 0"
AB Lighting,AB Lighting,Horticultural Luminaire,001-FL960305312-00,AC,40,44.09,1.97,,5,44.4 in,2024-05-23,120,277,No,TRUE,2.71,2660,0,2660,469,1147,1045,51,,,,,,,,,,,960,960,0,0.986,7.9,,,,,,0-10V IEC60929 Annex E
"Shenzhen Enlite Energy Technology Co., Ltd",Enlite,FLORA 960W,001-FL960305312-00,AC,40,44.09,1.97,,5,44.4 in,2024-05-23,120,277,No,TRUE,2.71,2660,0,2660,469,1147,1045,51,,,,,,,,,,,960,960,0,0.986,7.9,,,,,,0-10V IEC60929 Annex E
GML Solutions Ltd.,Grand Master LEDs,Tarantula Torch 900,GMLL0900W6I1B17C2,AC,40,43.66,4.09,,5,44.4 in,2023-10-10,200,277,No,TRUE,2.71,2438,0,2438,445,913,1080,153,,,2.71,2438,445,913,1080,153,,,899,899,0,0.993,7,899.3,240,0.993,6.2,,"0-10V IEC60929 Annex E, knob"
SINOWELL INC,FLEXSTAR,LED grow light,FLEXSTAR MATRIX 860W,AC,35,48,2.5,,5,60.0 in,2023-03-03,208,277,No,TRUE,2.71,2343,0,2322,347,1000,997,40,,,,,,,,,,,860,860,0,0.9,20,,,,,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Elevated Equipment Supply,Dryad,LED grow light,DRYAD 860W XR,AC,35,48,2.5,,5,60.0 in,2023-03-03,208,277,No,TRUE,2.71,2343,0,2322,347,1000,997,40,,,,,,,,,,,860,860,0,0.9,20,,,,,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
SUNSCAPE LLC,SUNSCAPE,,PA-1-750-GM-120,AC,45,40.79,3.78,,5,48.0 in,2023-05-18,100,277,No,TRUE,2.71,2036,203.3,2036,407,715,916,35,,,2.71,2036,407,715,916,35,,,750,750,75,0.947,11,751.79,120,0.947,10.9,,0-10V IEC60929 Annex E
Grower’s Choice,Grower's Choice,Grower's Choice ROI-E720 Horticulture LED System,ROI-E720,AC,40,46.8,3.2,,5,46.8 in,2022-02-24,120,277,No,TRUE,2.71,1948,0,1948,324,790,836,47,,,2.71,1948,324,790,836,47,,,720,720,0,0.959,9.4,718.6,120,0.959,9.4,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Huizhou Hong Rui Photoelectric Technology Limited Company,Hong Rui,PL-V1-B-680-A-JB-H-[SL;BK;WT;GN]-840-E4,PL-V1-B-680-A-JB-H-[SL;BK;WT;GN]-840-E4,AC,40,41.9,4.4,,,44.4 in,2021-06-04,120,277,No,TRUE,2.71,1904,,,317.7,801.9,786.4,43.43,,,2.712,1904,317.7,801.9,786.4,43.43,,,702.3,702,0,0.95,3.5,702.3,,0.99,3.5,,0-10V IEC60929 Annex E
PPF Tech LLC,PPF TECH,LED Horticultural Lighting,HG660-8B-FS3,AC,40,44.88,2.93,,5,46.8 in,2024-04-18,120,277,No,TRUE,2.71,1823,180,1823,331,717,777,71,,,2.71,1823,331,717,777,71,,,673,673,70,0.94,12,672.7,120.02,0.94,11.8,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V)"
GML Solutions Ltd.,Grand Master LEDs,MASTER 6V,GMLL640W1I650H9,AC,40,43.86,4,,5,44.4 in,2022-07-19,100,277,No,TRUE,2.71,1815,,,502,835,478,30,,,2.71,1815,502,835,478,30,,,671,671,0,0.996,7,670.8,120,0.963,8.1,,0-10V IEC60929 Annex E
Fluence Bioengineering,Fluence,VYPR 3p,"VR-3P-BP6-[LVG,HVG]-[S,B]",AC,40,2.91,3.23,,5,42.0 in,2020-11-19,120,480,No,TRUE,2.71,1764,,,219,405,1140,22,,,2.58,1616,200,372,1043,19,,,651,651,1,0.954,8,626.2,120,0.954,7.4,,0-10V Other Protocol
GrowGeneration Corp,iON LED,Horticultural Lighting,IONLED COMM630,AC,35,43.7,4.53,,5,44.4 in,2021-12-15,100,277,No,TRUE,2.71,1731,,,308,723,713,40,,,2.71,1731,308,723,713,40,,,630,630,63,0.97,10,639.7,120,0.977,11.2,,0-10V IEC60929 Annex E
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 700 DRW_VSN2 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,2.71,686,171.5,686,137,247,302,14,700,2.77,2.68,674,129,241,304,11,687,2.74,253,253,63.3,0.95,15,251.1,277,1,8.5,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 700 DRW_VSN2 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,2.71,686,171.5,686,137,247,302,14,700,2.77,2.68,674,129,241,304,11,687,2.74,253,253,63.3,0.95,15,251.1,277,1,8.5,,Power Line Commincation
"TrolMaster Agro Instruments Co., Ltd",ThinkGrow,Horticulture LED Grow Light,Model One(TLD-4+TLB-1),AC,40,6.75,5.78,,5,45.6 in,2024-03-18,100,277,No,TRUE,2.71,245,0,244.7,42,103,101,14,,,2.71,245,42,103,101,14,,,94,94,0,0.955,12.5,90.25,100,0.955,12.5,,0-10V Other Protocol
"TrolMaster Agro Instruments Co., Ltd",ThinkGrow,Horticulture LED Grow Light,Model One(TLD-2+DR-1),AC,40,6.75,5.78,,5,45.6 in,2024-03-11,100,277,No,TRUE,2.71,244,0,244.4,42,98,105,5,,,2.71,244,42,98,105,5,,,94,94,0,0.954,12.2,90.06,100,0.954,12.2,,0-10V Other Protocol
Huizhou Hong Rui Photoelectric Technology Limited Company,Hong Rui,PL-V1-B-680-A-JB-H-[SL;BK;WT;GN]-840-F4,PL-V1-B-680-A-JB-H-[SL;BK;WT;GN]-840-F4,AC,40,41.9,4.4,,,44.4 in,2021-06-11,120,277,No,TRUE,2.703,1891,,,358.7,802.9,730.9,38.5,,,2.703,1891,358.7,802.9,730.9,38.49,,,700,700,0,0.99,4,699.7,,0.99,4,,0-10V IEC60929 Annex E
"Shenzhen XinShengYang Opto-electronics Technology Co.,Ltd.",Luxgrow,,LPU15S-SO,AC,40,68.9,2,,5,44.4 in,2022-02-03,240,277,No,TRUE,2.7,4064,0,4064,517,1565,1982,200,,,2.7,4064,517,1565,1982,200,,,1505,1505,0,0.997,4.8,1505,240,0.952,6.5,,0-10V ANSI C137.1 (9V)
PACZ EMPIRE CORPORATION,PACZ,Horticultural Luminaire,PZ 4X6 1300SA,AC,40,72,2.78,,5,48.0 in,2024-02-29,100,277,No,TRUE,2.7,3628,0,3628,490,1501,1639,92,,,2.7,3628,490,1501,1639,92,,,1300,1300,0,0.972,6,1346,120,0.972,6.4,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
SINOWELL INC,FLEXSTAR,horticultural LED light,Flexstar Nova 1200W,AC,40,12.5,3.2,,5,33.6 in,2023-09-14,208,277,No,TRUE,2.7,3240,0,3240,580,1060,1560,40,,,,,,,,,,,1200,1200,0,20,,,,,,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V), 0-10V Other Protocol, No"
Fujian Juan Kuang Yaming Electric Ltd,JKLITE,LED Grow Light,HLTOP01-1000W-S04-B20-D1-CFC-MT-B,AC,40,15.35,5.08,,5,18.0 in,2022-12-15,120,277,No,TRUE,2.7,2960,300,2960,519,1277,1165,95,,,2.7,2960,519,1277,1165,95,,,1075,1075,100,0.952,11,1095.8,120,0.952,10.9,,0-10V IEC60929 Annex E
"Shenzhen Yaorong Technology Co.,Ltd",YAORONG,Spider LED Grow Light,YR-GL1140-W1000[BL;AR],AC,40,45.12,2.56,,5,61.2 in,2024-08-14,100,277,No,TRUE,2.7,2699,0,2699.3,397,1174,1128,86,,,2.66,2699,397,1174,1128,86,,,1000,1000,0,0.946,8.6,1013.3,100,0.999,3.1,,"0-10V IEC60929 Annex E, Phase Cut (Forward Phase), Phase Cut (Reverse Phase), Bluetooth - Manufacturer Specific"
"Shenzhen Yaorong Technology Co.,Ltd",YAORONG,Spider LED Grow Light,YR-GL1140-W1000[BL;AR],AC,40,45.12,2.56,,5,61.2 in,2024-08-14,100,277,No,TRUE,2.7,2699,0,2699.3,397,1174,1128,86,,,2.66,2699,397,1174,1128,86,,,1000,1000,0,0.946,8.6,1013.3,100,0.999,3.1,,"0-10V IEC60929 Annex E, Phase Cut (Forward Phase), Phase Cut (Reverse Phase), Bluetooth - Manufacturer Specific"
